Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,General Purpose,475AXZ035M,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,42.33Ohm @ 120Hz,1.8 Ohms,,40mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.illinoiscapacitor.com/pdf/seriesDocuments/AXZ%20series.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Illinois Capacitor,,,
,General Purpose,EDK105M050A9BAA,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,12.5mA @ 10kHz,10mA @ 120Hz,2000 Hrs @ 85°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://api.kemet.com/component-edge/download/datasheet/EDK105M050A9BAA.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,KEMET,,,
,General Purpose,UWR1C220MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,55.5mA @ 10kHz,37mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwx.pdf,CAP ALUM 22UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,865080540001,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,2.8 Ohms,80mA @ 100kHz,47.2mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080540001.pdf,CAP 3.3 UF 20% 35 V,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UWF1E6R8MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",6.8uF,±20%,,5 Ohms,50mA @ 100kHz,25mA @ 120Hz,1000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwf.pdf,CAP ALUM 6.8UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWF1V3R3MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,5 Ohms,50mA @ 100kHz,25mA @ 120Hz,1000 Hrs @ 105°C,,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwf.pdf,CAP ALUM 3.3UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,4SEV33M4X5.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,42mA @ 10kHz,28mA @ 120Hz,2000 Hrs @ 85°C,Polar,4V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_sev.pdf,CAP ALUM 33UF 20% 4V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Rubycon,,,
,General Purpose,6.3SKV22M4X5.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,34.5mA @ 10kHz,23mA @ 120Hz,1000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_SKV.pdf,CAP ALUM 22UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,Automotive,10SEV33M4X5.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,,32mA @ 120Hz,2000 Hrs @ 85°C,Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_sev.pdf,CAP ALUM 33UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Rubycon,,,
,General Purpose,225SMH050MHR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,90.43Ohm @ 120Hz,,24mA @ 100kHz,16mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.illinoiscapacitor.com/pdf/seriesDocuments/SMH%20series.pdf,CAP ALUM 2.2UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Illinois Capacitor,,,
,General Purpose,UWP1HR22MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",0.22uF,±20%,,,3mA @ 10kHz,2mA @ 120Hz,1000 Hrs @ 85°C,Bi-Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwp.pdf,CAP ALUM 0.22UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWP1H010MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,12.6mA @ 10kHz,8.4mA @ 120Hz,1000 Hrs @ 85°C,Bi-Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwp.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,865250240001,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,25.5mA @ 100kHz,17mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865250240001.pdf,CAP 10 UF 20% 10 V,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865250540003,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,27mA @ 100kHz,18mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865250540003.pdf,CAP 4.7 UF 20% 35 V,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865250140002,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,42mA @ 100kHz,28mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865250140002.pdf,CAP 22 UF 20% 6.3 V,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,UWJ1V4R7MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,27mA @ 10kHz,18mA @ 120Hz,2000 Hrs @ 85°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwj.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWJ1H2R2MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,,,19.5mA @ 10kHz,13mA @ 120Hz,2000 Hrs @ 85°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwj.pdf,CAP ALUM 2.2UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWJ0J220MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,42mA @ 10kHz,28mA @ 120Hz,2000 Hrs @ 85°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwj.pdf,CAP ALUM 22UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWF1C100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,5 Ohms,50mA @ 100kHz,25mA @ 120Hz,1000 Hrs @ 105°C,,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwf.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWR1E100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,40.5mA @ 10kHz,27mA @ 120Hz,2000 Hrs @ 85°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwx.pdf,CAP ALUM 10UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWF1E4R7MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,5 Ohms,50mA @ 100kHz,25mA @ 120Hz,1000 Hrs @ 105°C,,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwf.pdf,CAP ALUM 4.7UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UUR0G681MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",680uF,±20%,,,369.2mA @ 10kHz,284mA @ 120Hz,2000 Hrs @ 85°C,,4V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,CAP ALUM 680UF 20% 4V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,865080253011,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,250 mOhms,500mA @ 100kHz,325mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080253011.pdf,CAP 330 UF 20% 10 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865080453012,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,250 mOhms,480mA @ 100kHz,312mA @ 120Hz,2000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080453012.pdf,CAP 150 UF 20% 25 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UWT1H101MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,210mA @ 10kHz,140mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,CAP ALUM 100UF 20% 50V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EEE-FK2A220P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,1.3 Ohms,130mA @ 100kHz,97.5mA @ 120Hz,2000 Hrs @ 105°C,Polar,100V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+4+ABA0120+EEEFK2A220P+8+WW,CAP ALUM 22UF 20% 100V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,UCD1V101MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,5000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucd.pdf,CAP ALUM 100UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UUR1E221MNL6GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,301.6mA @ 10kHz,232mA @ 120Hz,2000 Hrs @ 85°C,,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,CAP ALUM 220UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,865230453006,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,139.2mA @ 10kHz,116mA @ 120Hz,5000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865230453006.pdf,CAP 100 UF 20% 25 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,35SKV100M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,216mA @ 10kHz,180mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_SKV.pdf,CAP ALUM 100UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,General Purpose,10SKV470M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,,,252mA @ 10kHz,210mA @ 120Hz,1000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_SKV.pdf,CAP ALUM 470UF 20% 10V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,General Purpose,865080453014,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,200 mOhms,570mA @ 100kHz,370.5mA @ 120Hz,2000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080453014.pdf,CAP 330 UF 20% 25 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UUR0G102MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1000uF,±20%,,,447.2mA @ 10kHz,344mA @ 120Hz,2000 Hrs @ 85°C,,4V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,CAP ALUM 1000UF 20% 4V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,Automotive,50SEV100M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,,320mA @ 120Hz,2000 Hrs @ 85°C,Polar,50V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_sev.pdf,CAP ALUM 100UF 20% 50V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Rubycon,,,
,General Purpose,865060353008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,170 mOhms,550mA @ 100kHz,357.5mA @ 120Hz,5000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060353008.pdf,CAP 330 UF 20% 16 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UUX2D3R9MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.9uF,±20%,,,56.78mA @ 10kHz,34mA @ 120Hz,3000 Hrs @ 105°C,Polar,200V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uux.pdf,CAP ALUM 3.9UF 20% 200V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,General Purpose,865060253008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,,170 mOhms,550mA @ 100kHz,357.5mA @ 120Hz,5000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060253008.pdf,CAP 470 UF 20% 10 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UUR1J220MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,160.32mA @ 10kHz,96mA @ 120Hz,2000 Hrs @ 85°C,,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,CAP ALUM 22UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,Automotive,25TLV220M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,160 mOhms,600mA @ 100kHz,360mA @ 120Hz,5000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_TLV.pdf,CAP ALUM 220UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,General Purpose,865060653009,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,,340 mOhms,300mA @ 100kHz,195mA @ 120Hz,5000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060653009.pdf,CAP 68 UF 20% 50 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UUX0J471MNL6GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,,,410.8mA @ 10kHz,316mA @ 120Hz,2000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uux.pdf,CAP ALUM 470UF 20% 6.3V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UUX1A331MNL6GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,,384.8mA @ 10kHz,296mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uux.pdf,CAP ALUM 330UF 20% 10V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UUR1V151MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,,278.2mA @ 10kHz,214mA @ 120Hz,2000 Hrs @ 85°C,,35V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,CAP ALUM 150UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UUR1E331MNL6GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,,369.2mA @ 10kHz,284mA @ 120Hz,2000 Hrs @ 85°C,,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,CAP ALUM 330UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,Automotive,63SGV33M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,172.5mA @ 10kHz,115mA @ 120Hz,2000 Hrs @ 105°C,Polar,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_sgv.pdf,CAP ALUM 33UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 105°C,,Rubycon,,,
,General Purpose,UUX2D6R8MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",6.8uF,±20%,,,73.48mA @ 10kHz,44mA @ 120Hz,3000 Hrs @ 105°C,Polar,200V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uux.pdf,CAP ALUM 6.8UF 20% 200V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Automotive,16SGV470M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,,,,320mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_sgv.pdf,CAP ALUM 470UF 20% 16V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,General Purpose,UUB1E101MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,111mA @ 10kHz,74mA @ 120Hz,2000 Hrs @ 125°C,Polar,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uub.pdf,CAP ALUM 100UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 125°C,,Nichicon,,,
,General Purpose,865060253007,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,170 mOhms,500mA @ 100kHz,325mA @ 120Hz,5000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060253007.pdf,CAP 330 UF 20% 10 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,Automotive,16TKV470M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,80mOhm @ 100kHz,,850mA @ 100kHz,510mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_TKV.pdf,CAP ALUM 470UF 20% 16V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,General Purpose,865060153008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,,170 mOhms,500mA @ 100kHz,325mA @ 120Hz,5000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060153008.pdf,CAP 470 UF 20% 6.3 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865060153010,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1000uF,±20%,,170 mOhms,550mA @ 100kHz,357.5mA @ 120Hz,5000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060153010.pdf,CAP 1000 UF 20% 6.3 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UCZ1K220MCL6GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,750mOhm,,,35mA @ 120Hz,3000 Hrs @ 125°C,Polar,80V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucz.pdf,CAP ALUM 22UF 20% 80V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 125°C,,Nichicon,,,
,Automotive,EEE-FK1J470P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,650 mOhms,250mA @ 100kHz,187.5mA @ 120Hz,2000 Hrs @ 105°C,Polar,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,,CAP ALUM 47UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
